Label,Parent Name,Atlas Name,Substitute,TA Name,Hierarchy,TA ID,Wikipedia Title
341,vermis,right-VIIB-v,-,,,,
342,vermis,right-VIIIA-v,-,,,,
343,vermis,right-VIIIB-v,-,,,,
344,vermis,right-IX-v,-,,,,
345,vermis,right-X-v,-,,,,
346,medial hemispheric zone,right-III-m,-,,,,
347,medial hemispheric zone,right-IV-m,-,,,,
348,medial hemispheric zone,right-V-m,-,,,,
349,medial hemispheric zone,right-VI-m,-,,,,
350,medial hemispheric zone,right-VIIA crusI-m,-,,,,
351,medial hemispheric zone,right-VIIA crusII-m,-,,,,
352,medial hemispheric zone,right-VIIB-m,-,,,,
353,medial hemispheric zone,right-VIIIA-m,-,,,,
354,medial hemispheric zone,right-VIIIB-m,-,,,,
355,medial hemispheric zone,right-IX-m,-,,,,
357,lateral hemispheric zone 1,right-V-l,-,,,,
358,lateral hemispheric zone 1,right-VI-l,-,,,,
361,lateral hemispheric zone 1,right-VIIA crusI-l1,-,,,,
362,lateral hemispheric zone 1,right-VIIA crusII-l1,-,,,,
363,lateral hemispheric zone 1,right-VIIB-l,-,,,,
364,lateral hemispheric zone 1,right-VIIIA-l,-,,,,
365,lateral hemispheric zone 1,right-VIIIB-l,-,,,,
366,lateral hemispheric zone 2,right-VIIA crusI-l2,-,,,,
367,lateral hemispheric zone 2,right-VIIA crusII-l2,-,,,,
371,left hemisphere of cerebellum,left dentate nucleus,,dentate nucleus,cerebellar nuclei;cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.407,Dentate nucleus
373,left hemisphere of cerebellum,left-FaGE nuclei,-,,,,
83,right globus pallidus,right globus pallidus pars interna,-,,,,
375,right hemisphere of cerebellum,right dentate nucleus,,dentate nucleus,cerebellar nuclei;cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.407,Dentate nucleus
377,right hemisphere of cerebellum,right-FaGE nuclei,-,,,,
380,left hypothalamus,left anterior superior hypothalamus,-,,,,
381,left hypothalamus,left anterior inferior hypothalamus,-,,,,
382,left hypothalamus,left superior tuberal hypothalamus,-,,,,
383,left hypothalamus,left inferior tuberal hypothalamus,-,,,,
384,left hypothalamus,left posterior superior hypothalamus,-,,,,
385,right hypothalamus,right anterior superior hypothalamus,-,,,,
386,right hypothalamus,right anterior inferior hypothalamus,-,,,,
387,right hypothalamus,right superior tuberal hypothalamus,-,,,,
388,right hypothalamus,right inferior tuberal hypothalamus,-,,,,
389,right hypothalamus,right posterior superior hypothalamus,-,,,,
390,right hypothalamus,right subthalamic nucleus,,subthalamic nucleus,subthalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.702,Subthalamic nucleus
391,left hypothalamus,left subthalamic nucleus,,subthalamic nucleus,subthalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.702,Subthalamic nucleus
500,right thalamus,right internal medullary lamina,,internal medullary lamina,white substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.661,Medullary laminae of thalamus
501,left thalamus,left internal medullary lamina,,internal medullary lamina,white substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.661,Medullary laminae of thalamus
502,right metathalamus,right medial geniculate body,,medial geniculate body,metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.303,Medial geniculate nucleus
503,left metathalamus,left medial geniculate body,,medial geniculate body,metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.303,Medial geniculate nucleus
504,right metathalamus,right lateral geniculate body,,lateral geniculate body,metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.302,Lateral geniculate nucleus
505,left metathalamus,left lateral geniculate body,,lateral geniculate body,metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.302,Lateral geniculate nucleus
506,lateral nuclear group,right pulvinar,,pulvinar,thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.104,Pulvinar nuclei
507,lateral nuclear group,left pulvinar,,pulvinar,thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.104,Pulvinar nuclei
508,right thalamus,right anterior thalamic nucleus,anterior nuclei of thalamus,anterior nuclei of thalamus,grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.603,Anterior nuclei of thalamus
509,left thalamus,left anterior thalamic nucleus,anterior nuclei of thalamus,anterior nuclei of thalamus,grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.603,Anterior nuclei of thalamus
510,right thalamus,right dorsomedial thalamic nucleus,,dorsomedial nucleus,dorsal hypothalamic area;hypothalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.917,Dorsomedial hypothalamic nucleus
511,left thalamus,left dorsomedial thalamic nucleus,,dorsomedial nucleus,dorsal hypothalamic area;hypothalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.917,Dorsomedial hypothalamic nucleus
512,right thalamus,right centromedian thalamic nucleus,,centromedian nucleus,intralaminar nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.618,Centromedian nucleus
513,left thalamus,left centromedian thalamic nucleus,,centromedian nucleus,intralaminar nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.618,Centromedian nucleus
514,ventral nuclear group,right ventral anterior thalamic nucleus,,ventral anterior nucleus,ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.652,Ventral anterior nucleus
515,ventral nuclear group,left ventral anterior thalamic nucleus,,ventral anterior nucleus,ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.652,Ventral anterior nucleus
516,ventral nuclear group,right ventral lateral thalamic nucleus,ventral lateral complex,ventral lateral complex,ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.649,
517,ventral nuclear group,left ventral lateral thalamic nucleus,ventral lateral complex,ventral lateral complex,ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.649,
518,lateral nuclear group,right lateral posterior thalamic nucleus,lateral posterior nucleus,lateral posterior nucleus,dorsal nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.609,Lateral posterior nucleus of thalamus
519,lateral nuclear group,left lateral posterior thalamic nucleus,lateral posterior nucleus,lateral posterior nucleus,dorsal nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.609,Lateral posterior nucleus of thalamus
520,lateral nuclear group,right lateral dorsal thalamic nucleus,lateral dorsal nucleus,dorsal lateral geniculate nucleus,lateral geniculate body;metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.802,
521,lateral nuclear group,left lateral dorsal thalamic nucleus,lateral dorsal nucleus,dorsal lateral geniculate nucleus,lateral geniculate body;metathalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.802,
522,ventral nuclear group,right ventral posteromedial thalamic nucleus,,ventral posteromedial nucleus,ventrobasal complex;ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.642,Ventral posteromedial nucleus
523,ventral nuclear group,left ventral posteromedial thalamic nucleus,,ventral posteromedial nucleus,ventrobasal complex;ventral nuclei of thalamus;grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.642,Ventral posteromedial nucleus
